,0
0,11
1,8
2,12
3,2
4,3
5,10
6,9
7,3
8,14
9,6
10,6
11,6
12,13
13,13
14,9
15,11
16,8
17,2
18,8
19,7
20,14
21,15
22,4
23,3
24,13
25,9
26,5
27,8
28,13
29,14
30,12
31,4
32,12
33,3
34,16
35,2
36,3
37,3
38,5
39,2
40,14
41,6
42,5
43,11
44,4
45,4
46,16
47,7
48,12
49,9
50,3
51,3
52,16
53,6
54,11
55,2
56,10
57,10
58,2
59,7
60,13
61,8
62,10
63,7
64,13
65,6
66,16
67,14
68,6
69,14
70,8
71,1
72,15
73,9
74,8
75,10
76,13
77,5
78,8
79,8
80,6
81,8
82,7
83,11
84,11
85,15
86,6
87,4
88,6
89,7
90,14
91,7
92,8
93,3
94,3
95,11
96,4
97,8
98,10
99,11
100,6
101,13
102,13
103,16
104,8
105,5
106,4
107,1
108,9
109,6
110,2
111,10
112,5
113,13
114,12
115,11
116,4
117,11
118,14
119,13
120,14
121,11
122,4
123,6
124,16
125,9
126,4
127,2
128,12
129,6
130,5
131,7
132,16
133,5
134,1
135,15
136,8
137,1
138,15
139,6
140,3
141,12
142,7
143,10
144,14
145,13
146,14
147,16
148,5
149,7
150,8
151,6
152,8
153,11
154,1
155,16
156,10
157,7
158,1
159,6
160,1
161,12
162,15
163,15
164,11
165,12
166,10
167,11
168,9
169,14
170,1
171,8
172,6
173,9
174,5
175,2
176,9
177,8
178,9
179,14
180,7
181,14
182,11
183,14
184,3
185,14
186,15
187,10
188,15
189,10
190,9
191,6
192,12
193,7
194,11
195,12
196,3
197,11
198,10
199,7
200,7
201,11
202,5
203,4
204,3
205,10
206,3
207,4
208,2
209,3
210,10
211,6
212,12
213,7
214,13
215,13
216,13
217,14
218,7
219,6
220,6
221,15
222,13
223,13
224,4
225,8
226,6
227,14
228,5
229,5
230,10
231,12
232,8
233,7
234,3
235,3
236,16
237,5
238,6
239,14
240,7
241,3
242,2
243,10
244,16
245,6
246,2
247,1
248,10
249,5
250,15
251,8
252,16
253,3
254,6
255,6
256,6
257,14
258,13
259,5
260,8
261,13
262,8
263,7
264,12
265,4
266,11
267,5
268,8
269,11
270,11
271,11
272,9
273,16
274,12
275,11
276,9
277,11
278,2
279,9
280,11
281,15
282,3
283,3
284,9
285,3
286,5
287,5
288,14
289,6
290,14
291,6
292,6
293,6
294,3
295,12
296,11
297,10
298,12
299,12
300,15
301,6
302,6
303,8
304,3
305,12
306,8
307,10
308,11
309,4
310,2
311,3
312,11
313,16
314,10
315,7
316,8
317,12
318,16
319,6
320,16
321,9
322,11
323,10
324,4
325,16
326,10
327,12
328,9
329,7
330,15
331,5
332,5
333,14
334,10
335,5
336,11
337,3
338,4
339,3
340,11
341,12
342,8
343,4
344,3
345,14
346,3
347,6
348,14
349,5
350,14
351,12
352,10
353,7
354,13
355,15
356,2
357,7
358,14
359,5
360,16
361,11
362,11
363,10
364,9
365,8
366,6
367,11
368,14
369,15
370,11
371,12
372,10
373,10
374,13
375,11
376,5
377,5
378,5
379,13
380,9
381,9
382,11
383,11
384,4
385,11
386,9
387,1
388,3
389,11
390,6
391,6
392,12
393,2
394,5
395,7
396,2
397,5
398,5
399,13
400,15
401,4
402,16
403,13
404,15
405,11
406,6
407,10
408,7
409,4
410,14
411,14
412,13
413,14
414,11
415,15
416,10
417,3
418,1
419,8
420,8
421,1
422,10
423,6
424,16
425,8
426,14
427,7
428,12
429,11
430,10
431,6
432,11
433,9
434,7
435,3
436,3
437,4
438,13
439,2
440,7
441,7
442,6
443,6
444,6
445,9
446,5
447,6
448,2
449,14
450,11
451,11
452,2
453,6
454,15
455,5
456,6
457,2
458,14
459,14
460,5
461,7
462,16
463,10
464,14
465,6
466,13
467,8
468,16
469,14
470,2
471,16
472,14
473,6
474,10
475,8
476,11
477,11
478,2
479,3
480,8
481,7
482,8
483,2
484,6
485,11
486,10
487,7
488,10
489,7
490,14
491,6
492,11
493,10
494,2
495,14
496,14
497,9
498,11
499,4
500,3
501,3
502,10
503,7
504,3
505,9
506,5
507,9
508,7
509,7
510,9
511,5
512,8
513,6
514,15
515,7
516,4
517,8
518,13
519,13
520,7
521,15
522,7
523,9
524,13
525,7
526,10
527,9
528,10
529,12
530,11
531,4
532,12
533,4
534,10
535,1
536,5
537,2
538,7
539,5
540,1
541,6
542,6
543,7
544,8
545,4
546,6
547,6
548,4
549,1
550,1
551,8
552,9
553,13
554,2
555,8
556,2
557,15
558,15
559,3
560,15
561,1
562,5
563,1
564,12
565,12
566,16
567,3
568,2
569,15
570,12
571,4
572,16
573,9
574,4
575,6
576,2
577,8
578,9
579,13
580,13
581,13
582,9
583,9
584,5
585,2
586,13
587,14
588,2
589,2
590,14
591,14
592,10
593,9
594,4
595,12
596,15
597,13
598,2
599,6
600,4
601,3
602,10
603,8
604,8
605,14
606,11
607,5
608,10
609,3
610,2
611,13
612,1
613,3
614,2
615,14
616,6
617,12
618,16
619,1
620,3
621,5
622,5
623,14
624,9
625,2
626,9
627,15
628,12
629,10
630,3
631,2
632,9
633,1
634,13
635,14
636,7
637,6
638,6
639,16
640,6
641,9
642,10
643,6
644,5
645,5
646,6
647,6
648,14
649,1
650,14
651,11
652,1
653,6
654,5
655,14
656,12
657,7
658,6
659,11
660,7
661,5
662,15
663,5
664,9
665,6
666,3
667,3
668,2
669,12
670,8
671,3
672,15
673,16
674,7
675,12
676,2
677,6
678,6
679,13
680,12
681,4
682,10
683,3
684,6
685,5
686,6
687,8
688,9
689,12
690,13
691,6
692,2
693,8
694,5
695,5
696,14
697,6
698,12
699,2
700,10
701,15
702,2
703,8
704,2
705,13
706,3
707,4
708,5
709,9
710,15
711,7
712,5
713,6
714,3
715,4
716,8
717,6
718,15
719,7
720,15
721,12
722,5
723,6
724,13
725,6
726,7
727,16
728,13
729,7
730,16
731,6
732,4
733,12
734,12
735,3
736,14
737,16
738,10
739,14
740,5
741,14
742,8
743,6
744,3
745,7
746,15
747,8
748,6
749,14
750,1
751,12
752,9
753,7
754,3
755,12
756,13
757,10
758,6
759,7
760,13
761,7
762,10
763,5
764,7
765,9
766,10
767,11
768,13
769,10
770,6
771,5
772,8
773,7
774,7
775,8
776,10
777,15
778,4
779,12
780,4
781,4
782,3
